# STATION: 023HI
# STATION NAME: Hamoa
# LATITUDE: 20.7195
# LONGITUDE: -156.0024
# ELEVATION [ft]: 347.0
# STATE: HI
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,soil_temp_set_1,soil_temp_set_2,soil_temp_set_3,precip_accum_five_minute_set_1,soil_moisture_set_1,soil_moisture_set_2,soil_moisture_set_3,volt_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d,altimeter_set_1d,sea_level_pressure_set_1d,wet_bulb_temperature_set_1d
023HI,2024-01-15T12:25:00Z,99860.0,16.522,93.1,0.134,244.9,0.499,,,,0.0,,,,12.9,,WSW,,15.39,101122.32,101111.81,
023HI,2024-01-15T12:30:00Z,99860.0,16.539,93.2,0.195,253.3,0.777,,,,0.0,,,,12.89,,WSW,,15.43,101122.32,101111.74,
023HI,2024-01-15T12:35:00Z,99860.0,16.628,93.2,0.35,245.0,0.941,,,,0.0,,,,12.9,,WSW,,15.52,101122.32,101111.35,
023HI,2024-01-15T12:40:00Z,99860.0,16.689,93.0,0.268,244.7,0.777,,,,0.0,,,,12.9,,WSW,,15.54,101122.32,101111.09,
023HI,2024-01-15T12:45:00Z,99860.0,16.672,93.4,0.432,253.8,1.055,,,,0.0,,,,12.9,,WSW,,15.59,101122.32,101111.16,
023HI,2024-01-15T12:50:00Z,99860.0,16.761,93.3,0.293,253.5,0.833,,,,0.0,,,,12.9,,WSW,,15.66,101122.32,101110.77,
023HI,2024-01-15T12:55:00Z,99860.0,16.822,93.0,0.396,245.2,0.998,,,,0.0,,,,12.89,,WSW,,15.67,101122.32,101110.51,
023HI,2024-01-15T13:00:00Z,99850.0,16.772,92.7,0.504,237.6,1.276,,,,0.0,,,,12.89,,WSW,,15.57,101112.19,101100.6,
023HI,2024-01-15T13:05:00Z,99850.0,16.678,93.1,0.478,239.4,1.111,,,,0.0,,,,12.89,,WSW,,15.55,101112.19,101101.01,
023HI,2024-01-15T13:10:00Z,99850.0,16.578,93.7,0.576,248.4,0.89,,,,0.0,,,,12.89,,WSW,,15.55,101112.19,101101.44,
023HI,2024-01-15T13:15:00Z,99840.0,16.511,94.3,0.386,258.3,0.833,,,,0.0,,,,12.89,,WSW,,15.58,101102.07,101091.61,
023HI,2024-01-15T13:20:00Z,99840.0,16.489,94.3,0.561,262.9,0.998,,,,0.0,,,,12.88,,W,,15.56,101102.07,101091.7,
023HI,2024-01-15T13:25:00Z,99840.0,16.522,93.9,0.499,258.7,0.941,,,,0.0,,,,12.88,,WSW,,15.53,101102.07,101091.56,
023HI,2024-01-15T13:30:00Z,99840.0,16.6,93.1,0.638,268.0,1.61,,,,0.0,,,,12.88,,W,,15.47,101102.07,101091.22,
023HI,2024-01-15T13:35:00Z,99850.0,16.839,90.7,0.648,274.7,1.389,,,,0.0,,,,12.88,,W,,15.3,101112.19,101100.31,
023HI,2024-01-15T13:40:00Z,99850.0,17.178,88.8,0.648,275.7,1.332,,,,0.0,,,,12.88,,W,,15.3,101112.19,101098.85,
023HI,2024-01-15T13:45:00Z,99850.0,17.228,88.7,0.525,268.5,1.055,,,,0.0,,,,12.88,,W,,15.33,101112.19,101098.63,
023HI,2024-01-15T13:50:00Z,99850.0,17.222,88.8,0.597,274.5,0.998,,,,0.0,,,,12.87,,W,,15.34,101112.19,101098.66,
023HI,2024-01-15T13:55:00Z,99850.0,17.278,88.5,0.581,271.9,0.998,,,,0.0,,,,12.87,,W,,15.34,101112.19,101098.41,
023HI,2024-01-15T14:00:00Z,99850.0,17.261,88.7,0.545,263.9,1.111,,,,0.0,,,,12.87,,W,,15.36,101112.19,101098.49,
023HI,2024-01-15T14:05:00Z,99840.0,17.122,89.7,0.54,265.8,1.055,,,,0.0,,,,12.87,,W,,15.4,101102.07,101088.96,
023HI,2024-01-15T14:10:00Z,99840.0,17.089,90.2,0.37,271.2,0.941,,,,0.0,,,,12.87,,W,,15.46,101102.07,101089.1,
023HI,2024-01-15T14:15:00Z,99830.0,17.089,90.8,0.283,263.2,1.111,,,,0.0,,,,12.87,,W,,15.56,101091.94,101078.98,
023HI,2024-01-15T14:20:00Z,99830.0,17.039,91.2,0.262,267.7,0.89,,,,0.0,,,,12.86,,W,,15.58,101091.94,101079.19,
023HI,2024-01-15T14:25:00Z,99840.0,17.061,91.4,0.324,261.9,0.941,,,,0.0,,,,12.86,,W,,15.64,101102.07,101089.22,
023HI,2024-01-15T14:30:00Z,99830.0,17.05,91.2,0.473,271.7,1.111,,,,0.0,,,,12.86,,W,,15.59,101091.94,101079.15,
023HI,2024-01-15T14:35:00Z,99840.0,17.128,90.2,0.334,261.1,1.168,,,,0.0,,,,12.86,,W,,15.5,101102.07,101088.94,
023HI,2024-01-15T14:40:00Z,99840.0,17.239,89.0,0.134,244.5,0.833,,,,0.0,,,,12.85,,WSW,,15.39,101102.07,101088.46,
023HI,2024-01-15T14:45:00Z,99830.0,17.15,89.0,0.087,268.3,0.664,,,,0.0,,,,12.85,,W,,15.31,101091.94,101078.72,
023HI,2024-01-15T14:50:00Z,99830.0,17.128,89.7,0.139,264.5,0.833,,,,0.0,,,,12.85,,W,,15.41,101091.94,101078.81,
023HI,2024-01-15T14:55:00Z,99830.0,17.139,89.9,0.175,275.4,0.833,,,,0.0,,,,12.85,,W,,15.45,101091.94,101078.76,
023HI,2024-01-15T15:00:00Z,99830.0,17.2,89.6,0.442,278.6,1.168,,,,0.0,,,,12.85,,W,,15.46,101091.94,101078.5,
023HI,2024-01-15T15:05:00Z,99830.0,17.411,88.2,0.437,265.8,1.497,,,,0.0,,,,12.85,,W,,15.42,101091.94,101077.59,
023HI,2024-01-15T15:10:00Z,99830.0,17.55,88.1,0.268,270.0,1.276,,,,0.0,,,,12.84,,W,,15.54,101091.94,101076.99,
023HI,2024-01-15T15:15:00Z,99830.0,17.528,87.9,0.221,280.4,1.168,,,,0.0,,,,12.84,,W,,15.48,101091.94,101077.08,
023HI,2024-01-15T15:20:00Z,99840.0,17.289,88.7,0.0,,0.0,,,,0.0,,,,12.84,,,,15.39,101102.07,101088.24,
023HI,2024-01-15T15:25:00Z,99840.0,17.089,90.3,0.617,274.3,1.497,,,,0.0,,,,12.84,,W,,15.47,101102.07,101089.1,
023HI,2024-01-15T15:30:00Z,99840.0,17.111,90.4,0.612,264.0,1.276,,,,0.0,,,,12.84,,W,,15.51,101102.07,101089.01,
023HI,2024-01-15T15:35:00Z,99840.0,17.111,90.3,0.689,262.3,1.168,,,,0.0,,,,12.83,,W,,15.5,101102.07,101089.01,
023HI,2024-01-15T15:40:00Z,99840.0,16.928,91.3,0.34,248.2,0.833,,,,0.0,,,,12.83,,WSW,,15.49,101102.07,101089.8,
023HI,2024-01-15T15:45:00Z,99840.0,16.689,92.1,0.391,270.4,1.168,,,,0.0,,,,12.83,,W,,15.39,101102.07,101090.84,
023HI,2024-01-15T15:50:00Z,99840.0,16.65,92.8,0.895,275.1,1.554,,,,0.0,,,,12.83,,W,,15.47,101102.07,101091.01,
023HI,2024-01-15T15:55:00Z,99830.0,16.839,92.0,0.839,278.7,1.389,,,,0.0,,,,12.83,,W,,15.52,101091.94,101080.06,
023HI,2024-01-15T16:00:00Z,99830.0,16.9,91.5,0.561,257.9,1.111,,,,0.0,,,,12.82,,WSW,,15.5,101091.94,101079.8,
023HI,2024-01-15T16:05:00Z,99820.0,16.8,92.2,0.746,258.8,1.224,,,,0.0,,,,12.82,,W,,15.52,101081.82,101070.1,
023HI,2024-01-15T16:10:00Z,99820.0,16.728,92.5,0.448,265.3,1.168,,,,0.0,,,,12.82,,W,,15.5,101081.82,101070.42,
023HI,2024-01-15T16:15:00Z,99830.0,16.728,92.6,0.592,270.4,1.055,,,,0.0,,,,12.82,,W,,15.51,101091.94,101080.54,
023HI,2024-01-15T16:20:00Z,99830.0,16.772,92.7,0.612,262.8,1.111,,,,0.0,,,,12.82,,W,,15.57,101091.94,101080.35,
023HI,2024-01-15T16:25:00Z,99830.0,16.85,92.4,0.689,269.6,1.111,,,,0.0,,,,12.82,,W,,15.6,101091.94,101080.01,
023HI,2024-01-15T16:30:00Z,99830.0,16.989,91.7,0.782,271.8,1.168,,,,0.0,,,,12.82,,W,,15.62,101091.94,101079.41,
023HI,2024-01-15T16:35:00Z,99830.0,17.039,91.3,0.777,268.8,1.446,,,,0.0,,,,12.81,,W,,15.6,101091.94,101079.19,
023HI,2024-01-15T16:40:00Z,99830.0,17.011,91.5,0.777,267.6,1.055,,,,0.0,,,,12.81,,W,,15.61,101091.94,101079.32,
023HI,2024-01-15T16:45:00Z,99830.0,17.011,91.7,0.808,264.1,1.276,,,,0.0,,,,12.81,,W,,15.64,101091.94,101079.32,
023HI,2024-01-15T16:50:00Z,99840.0,17.072,91.6,0.782,271.1,1.111,,,,0.0,,,,12.81,,W,,15.68,101102.07,101089.18,
023HI,2024-01-15T16:55:00Z,99840.0,17.178,91.1,0.741,273.2,1.332,,,,0.0,,,,12.81,,W,,15.7,101102.07,101088.72,
023HI,2024-01-15T17:00:00Z,99840.0,17.25,90.8,0.731,273.6,1.168,,,,0.0,,,,12.81,,W,,15.72,101102.07,101088.41,
023HI,2024-01-15T17:05:00Z,99840.0,17.239,90.9,0.633,270.3,1.055,,,,0.0,,,,12.81,,W,,15.73,101102.07,101088.45,
023HI,2024-01-15T17:10:00Z,99850.0,17.25,91.1,0.55,269.1,0.998,,,,0.0,,,,12.8,,W,,15.77,101112.19,101098.53,
023HI,2024-01-15T17:15:00Z,99850.0,17.278,90.9,0.514,269.5,1.055,,,,0.0,,,,12.8,,W,,15.77,101112.19,101098.41,
023HI,2024-01-15T17:20:00Z,99850.0,17.35,90.7,0.664,272.0,1.276,,,,0.0,,,,12.79,,W,,15.8,101112.19,101098.1,
023HI,2024-01-15T17:25:00Z,99850.0,17.478,90.3,0.545,273.9,0.998,,,,0.0,,,,12.8,,W,,15.86,101112.19,101097.55,
023HI,2024-01-15T17:30:00Z,99850.0,17.528,90.2,0.453,268.6,0.89,,,,0.0,,,,12.8,,W,,15.89,101112.19,101097.33,
023HI,2024-01-15T17:35:00Z,99850.0,17.6,89.8,0.514,268.5,1.055,,,,0.0,,,,12.8,,W,,15.89,101112.19,101097.02,
023HI,2024-01-15T17:40:00Z,99850.0,17.572,90.2,0.226,266.3,0.777,,,,0.0,,,,12.8,,W,,15.93,101112.19,101097.14,
023HI,2024-01-15T17:45:00Z,99850.0,17.5,91.0,0.448,273.9,0.941,,,,0.0,,,,12.8,,W,,16.0,101112.19,101097.45,
023HI,2024-01-15T17:50:00Z,99850.0,17.478,91.2,0.535,268.3,0.941,,,,0.0,,,,12.81,,W,,16.02,101112.19,101097.54,
023HI,2024-01-15T17:55:00Z,99850.0,17.75,91.1,0.329,268.2,0.72,,,,0.0,,,,12.82,,W,,16.27,101112.19,101096.37,
023HI,2024-01-15T18:00:00Z,99850.0,18.211,90.6,0.262,262.3,0.777,,,,0.0,,,,12.83,,W,,16.64,101112.19,101094.39,
023HI,2024-01-15T18:05:00Z,99850.0,18.689,90.0,0.165,267.3,0.777,,,,0.0,,,,12.84,,W,,17.0,101112.19,101092.33,
023HI,2024-01-15T18:10:00Z,99850.0,19.178,89.4,0.067,253.6,0.391,,,,0.0,,,,12.84,,WSW,,17.38,101112.19,101090.24,
023HI,2024-01-15T18:15:00Z,99860.0,19.578,89.4,0.026,250.7,0.499,,,,0.0,,,,12.85,,WSW,,17.78,101122.32,101098.66,
023HI,2024-01-15T18:20:00Z,99860.0,19.9,88.8,0.0,,0.0,,,,0.0,,,,12.85,,,,17.99,101122.32,101097.29,
023HI,2024-01-15T18:25:00Z,99870.0,20.272,87.6,0.165,297.2,1.168,,,,0.0,,,,12.86,,WNW,,18.13,101132.45,101105.84,
023HI,2024-01-15T18:30:00Z,99880.0,20.678,86.1,0.0,,0.0,,,,0.0,,,,12.91,,,,18.26,101142.57,101114.24,
023HI,2024-01-15T18:35:00Z,99880.0,20.95,85.0,0.185,257.0,1.389,,,,0.0,,,,13.06,,WSW,,18.32,101142.57,101113.1,
023HI,2024-01-15T18:40:00Z,99880.0,21.228,83.0,0.041,313.1,0.72,,,,0.0,,,,13.19,,NW,,18.21,101142.57,101111.93,
023HI,2024-01-15T18:45:00Z,99870.0,21.428,83.3,0.082,61.09,1.497,,,,0.0,,,,13.32,,ENE,,18.46,101132.45,101100.96,
023HI,2024-01-15T18:50:00Z,99870.0,21.689,83.1,0.077,224.5,0.556,,,,0.0,,,,13.44,,SW,,18.68,101132.45,101099.86,
023HI,2024-01-15T18:55:00Z,99870.0,22.028,81.8,0.036,179.3,0.664,,,,0.0,,,,13.54,,S,,18.76,101132.45,101098.44,
023HI,2024-01-15T19:00:00Z,99870.0,22.239,81.1,0.231,236.4,1.945,,,,0.0,,,,13.62,,WSW,,18.83,101132.45,101097.56,
023HI,2024-01-15T19:05:00Z,99870.0,22.439,81.2,0.247,95.5,0.941,,,,0.0,,,,13.68,,E,,19.04,101132.45,101096.72,
023HI,2024-01-15T19:10:00Z,99870.0,22.489,79.57,0.175,81.7,1.446,,,,0.0,,,,13.68,,E,,18.76,101132.45,101096.52,
023HI,2024-01-15T19:15:00Z,99860.0,22.772,78.95,0.226,9.79,1.389,,,,0.0,,,,13.67,,N,,18.91,101122.32,101085.22,
023HI,2024-01-15T19:20:00Z,99870.0,22.911,79.01,0.195,213.1,1.224,,,,0.0,,,,13.67,,SSW,,19.06,101132.45,101094.76,
023HI,2024-01-15T19:25:00Z,99860.0,22.95,78.55,0.268,122.5,1.055,,,,0.0,,,,13.66,,ESE,,19.01,101122.32,101084.47,
023HI,2024-01-15T19:30:00Z,99860.0,23.128,78.53,0.324,141.0,1.667,,,,0.0,,,,13.65,,SE,,19.18,101122.32,101083.73,
023HI,2024-01-15T19:35:00Z,99870.0,23.322,77.69,0.304,41.35,2.166,,,,0.0,,,,13.64,,NE,,19.19,101132.45,101093.05,
023HI,2024-01-15T19:40:00Z,99870.0,23.4,76.83,0.262,151.1,1.055,,,,0.0,,,,13.63,,SSE,,19.09,101132.45,101092.73,
023HI,2024-01-15T19:45:00Z,99860.0,23.428,76.71,0.293,135.5,1.446,,,,0.0,,,,13.61,,SE,,19.09,101122.32,101082.49,
023HI,2024-01-15T19:50:00Z,99860.0,23.6,76.52,0.165,162.6,0.998,,,,0.0,,,,13.61,,SSE,,19.22,101122.32,101081.78,
023HI,2024-01-15T19:55:00Z,99860.0,23.522,76.82,0.586,72.56,2.279,,,,0.0,,,,13.59,,ENE,,19.2,101122.32,101082.1,
023HI,2024-01-15T20:00:00Z,99850.0,23.639,76.35,0.53,155.3,,,,,0.0,,,,13.59,,SSE,,19.22,101112.19,101071.49,
023HI,2024-01-15T20:05:00Z,99840.0,23.7,76.88,0.252,136.2,1.276,,,,0.0,,,,13.58,,SE,,19.39,101102.07,101061.12,
023HI,2024-01-15T20:10:00Z,99840.0,23.95,76.54,0.298,130.1,1.554,,,,0.0,,,,13.58,,SE,,19.56,101102.07,101060.08,
023HI,2024-01-15T20:15:00Z,99840.0,24.122,76.46,0.273,140.6,1.446,,,,0.0,,,,13.56,,SE,,19.71,101102.07,101059.37,
023HI,2024-01-15T20:20:00Z,99830.0,24.078,76.88,0.304,101.6,2.444,,,,0.0,,,,13.56,,ESE,,19.76,101091.94,101049.43,
023HI,2024-01-15T20:25:00Z,99830.0,24.1,76.28,0.561,238.9,3.442,,,,0.0,,,,13.56,,WSW,,19.65,101091.94,101049.34,
023HI,2024-01-15T20:30:00Z,99820.0,24.011,76.59,0.653,194.6,1.888,,,,0.0,,,,13.56,,SSW,,19.63,101081.82,101039.59,
023HI,2024-01-15T20:35:00Z,99810.0,24.289,76.3,0.406,153.2,1.497,,,,0.0,,,,13.55,,SSE,,19.84,101071.69,101028.32,
023HI,2024-01-15T20:40:00Z,99810.0,24.261,76.58,0.489,162.4,1.888,,,,0.0,,,,13.55,,SSE,,19.87,101071.69,101028.43,
023HI,2024-01-15T20:45:00Z,99800.0,24.322,75.71,0.453,150.8,2.109,,,,0.0,,,,13.54,,SSE,,19.75,101061.56,101018.06,
023HI,2024-01-15T20:50:00Z,99790.0,24.2,76.67,0.36,204.8,2.886,,,,0.0,,,,13.54,,SSW,,19.83,101051.44,101008.44,
023HI,2024-01-15T20:55:00Z,99790.0,23.978,76.81,0.705,158.9,2.053,,,,0.0,,,,13.54,,SSE,,19.64,101051.44,101009.36,
023HI,2024-01-15T21:00:00Z,99780.0,23.928,77.9,0.201,107.3,1.111,,,,0.0,,,,13.54,,ESE,,19.82,101041.31,100999.44,
023HI,2024-01-15T21:05:00Z,99760.0,23.922,77.28,0.473,148.8,1.945,,,,0.0,,,,13.54,,SSE,,19.69,101021.06,100979.22,
023HI,2024-01-15T21:10:00Z,99750.0,23.622,77.96,0.468,54.02,2.279,,,,0.0,,,,13.55,,NE,,19.54,101010.93,100970.34,
023HI,2024-01-15T21:15:00Z,99750.0,23.772,79.19,0.324,132.9,1.554,,,,0.0,,,,13.55,,SE,,19.94,101010.93,100969.71,
023HI,2024-01-15T21:20:00Z,99740.0,24.3,77.99,0.442,206.4,1.831,,,,0.0,,,,13.55,,SSW,,20.2,101000.8,100957.41,
023HI,2024-01-15T21:25:00Z,99730.0,24.761,76.06,0.514,247.3,1.945,,,,0.0,,,,13.55,,WSW,,20.25,100990.68,100945.4,
023HI,2024-01-15T21:30:00Z,99720.0,24.711,75.11,0.463,97.4,1.775,,,,0.0,,,,13.55,,E,,19.99,100980.55,100935.48,
023HI,2024-01-15T21:35:00Z,99720.0,24.572,74.94,0.607,204.5,2.721,,,,0.0,,,,13.55,,SSW,,19.82,100980.55,100936.06,
023HI,2024-01-15T21:40:00Z,99700.0,24.611,74.16,0.386,125.4,2.279,,,,0.0,,,,13.54,,SE,,19.69,100960.3,100915.65,
023HI,2024-01-15T21:45:00Z,99690.0,24.922,74.02,0.525,174.0,1.723,,,,0.0,,,,13.54,,S,,19.96,100950.17,100904.25,
023HI,2024-01-15T21:50:00Z,99670.0,24.989,73.55,0.484,222.7,2.222,,,,0.0,,,,13.53,,SW,,19.92,100929.92,100883.74,
023HI,2024-01-15T21:55:00Z,99650.0,25.261,72.96,0.705,215.8,2.279,,,,0.0,,,,13.52,,SW,,20.05,100909.67,100862.38,
023HI,2024-01-15T22:00:00Z,99640.0,25.05,72.76,0.782,149.2,,,,,0.0,,,,13.52,,SSE,,19.81,100899.54,100853.12,
023HI,2024-01-15T22:05:00Z,99630.0,24.789,72.91,0.679,163.4,2.444,,,,0.0,,,,13.52,,SSE,,19.59,100889.41,100844.07,
023HI,2024-01-15T22:10:00Z,99620.0,24.811,73.22,0.674,200.5,1.775,,,,0.0,,,,13.52,,SSW,,19.68,100879.29,100833.86,
023HI,2024-01-15T22:15:00Z,99600.0,24.839,73.95,0.761,198.0,2.387,,,,0.0,,,,13.51,,SSW,,19.87,100859.03,100813.5,
023HI,2024-01-15T22:20:00Z,99590.0,24.872,74.29,0.463,190.0,1.61,,,,0.0,,,,13.5,,S,,19.97,100848.91,100803.24,
023HI,2024-01-15T22:25:00Z,99580.0,24.711,73.97,0.839,144.9,2.109,,,,0.0,,,,13.51,,SE,,19.75,100838.78,100793.78,
023HI,2024-01-15T22:30:00Z,99570.0,24.622,74.16,0.828,173.1,3.334,,,,0.0,,,,13.51,,S,,19.7,100828.66,100784.02,
023HI,2024-01-15T22:35:00Z,99560.0,24.728,74.14,0.839,141.6,3.719,,,,0.0,,,,13.51,,SE,,19.8,100818.53,100773.47,
023HI,2024-01-15T22:40:00Z,99550.0,24.628,73.7,0.905,187.0,4.054,,,,0.0,,,,13.51,,S,,19.61,100808.4,100763.76,
023HI,2024-01-15T22:45:00Z,99530.0,24.778,74.53,0.602,152.1,1.497,,,,0.0,,,,13.51,,SSE,,19.93,100788.15,100742.89,
023HI,2024-01-15T22:50:00Z,99520.0,24.75,73.07,0.88,168.2,2.665,,,,0.0,,,,13.51,,SSE,,19.59,100778.02,100732.89,
023HI,2024-01-15T22:55:00Z,99500.0,24.811,74.8,0.55,129.2,3.112,,,,0.0,,,,13.51,,SE,,20.02,100757.77,100712.39,
023HI,2024-01-15T23:00:00Z,99490.0,24.889,73.78,0.767,146.9,3.056,,,,0.0,,,,13.51,,SSE,,19.88,100747.64,100701.95,
023HI,2024-01-15T23:05:00Z,99480.0,24.839,73.88,0.612,189.1,2.222,,,,0.0,,,,13.52,,S,,19.85,100737.52,100692.04,
023HI,2024-01-15T23:10:00Z,99470.0,25.05,73.78,0.689,134.8,2.829,,,,0.0,,,,13.52,,SE,,20.03,100727.39,100681.05,
023HI,2024-01-15T23:15:00Z,99450.0,24.75,73.85,0.864,155.6,3.277,,,,0.0,,,,13.52,,SSE,,19.76,100707.14,100662.04,
023HI,2024-01-15T23:20:00Z,99450.0,24.572,74.27,0.833,143.0,3.334,,,,0.0,,,,13.52,,SE,,19.68,100707.14,100662.76,
023HI,2024-01-15T23:25:00Z,99440.0,24.528,74.71,0.869,164.2,3.22,,,,0.0,,,,13.52,,SSE,,19.73,100697.01,100652.82,
023HI,2024-01-15T23:30:00Z,99430.0,24.672,74.8,0.813,182.0,2.665,,,,0.0,,,,13.52,,S,,19.89,100686.89,100642.11,
023HI,2024-01-15T23:35:00Z,99420.0,24.972,74.68,0.705,144.5,2.279,,,,0.0,,,,13.51,,SE,,20.15,100676.76,100630.76,
023HI,2024-01-15T23:40:00Z,99420.0,24.8,74.48,0.947,169.4,2.721,,,,0.0,,,,13.51,,S,,19.94,100676.76,100631.46,
023HI,2024-01-15T23:45:00Z,99400.0,24.822,74.86,0.839,168.5,2.053,,,,0.0,,,,13.51,,SSE,,20.05,100656.51,100611.13,
023HI,2024-01-15T23:50:00Z,99400.0,25.022,74.55,0.694,172.2,,,,,0.0,,,,13.51,,S,,20.17,100656.51,100610.31,
023HI,2024-01-15T23:55:00Z,99390.0,24.828,74.36,1.116,156.1,3.663,,,,0.0,,,,13.52,,SSE,,19.94,100646.38,100600.98,
023HI,2024-01-16T00:00:00Z,99390.0,24.728,75.37,0.844,177.8,2.608,,,,0.0,,,,13.52,,S,,20.07,100646.38,100601.39,
023HI,2024-01-16T00:05:00Z,99390.0,24.689,75.21,1.013,181.7,2.665,,,,0.0,,,,13.51,,S,,19.99,100646.38,100601.55,
023HI,2024-01-16T00:10:00Z,99380.0,24.689,75.75,0.972,165.1,2.053,,,,0.0,,,,13.52,,SSE,,20.11,100636.25,100591.43,
023HI,2024-01-16T00:15:00Z,99370.0,24.878,75.84,0.787,146.0,2.608,,,,0.0,,,,13.52,,SE,,20.31,100626.13,100580.53,
023HI,2024-01-16T00:20:00Z,99370.0,24.711,75.52,0.854,150.0,2.608,,,,0.0,,,,13.52,,SSE,,20.08,100626.13,100581.22,
