# STATION: 008HI
# STATION NAME: Palamamnui
# LATITUDE: 19.74800
# LONGITUDE: -155.99600
# ELEVATION [ft]: 869.0
# STATE: HI
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,solar_radiation_set_1,precip_accum_five_minute_set_1,soil_moisture_set_1,volt_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
008HI,2024-01-15T10:55:00Z,18.628,74.69,1.224,123.9,0.0,0.0,10.3,,1.14,0.0,0.0,,SE,,14.02
008HI,2024-01-15T11:00:00Z,18.611,75.29,1.219,133.8,0.0,0.0,10.3,12.61,1.19,0.0,0.0,,SE,,14.12
008HI,2024-01-15T11:05:00Z,18.689,75.58,1.312,133.0,0.0,0.0,10.3,,1.31,0.0,0.0,,SE,,14.26
008HI,2024-01-15T11:10:00Z,18.789,75.38,1.574,141.6,0.0,0.0,10.3,12.6,1.38,0.0,0.0,,SE,,14.31
008HI,2024-01-15T11:15:00Z,18.872,74.08,1.595,150.9,0.0,0.0,10.3,,1.36,0.0,0.0,,SSE,,14.12
008HI,2024-01-15T11:20:00Z,18.844,73.89,1.59,147.7,0.0,0.0,10.3,12.6,1.13,0.0,0.0,,SSE,,14.06
008HI,2024-01-15T11:25:00Z,18.85,73.52,1.461,142.6,0.0,0.0,10.3,,1.11,0.0,0.0,,SE,,13.99
008HI,2024-01-15T11:30:00Z,18.783,73.22,1.461,143.6,0.0,0.0,10.3,12.6,0.94,0.0,0.0,,SE,,13.86
008HI,2024-01-15T11:35:00Z,18.844,72.56,1.749,138.2,0.0,0.0,10.3,,1.18,0.0,0.0,,SE,,13.78
008HI,2024-01-15T11:40:00Z,18.911,71.8,1.687,141.5,0.0,0.0,10.3,12.6,1.14,0.0,0.0,,SE,,13.68
008HI,2024-01-15T11:45:00Z,18.922,71.59,1.466,147.8,0.0,0.0,10.3,,1.03,0.0,0.0,,SSE,,13.64
008HI,2024-01-15T11:50:00Z,18.922,71.89,1.641,146.5,0.0,0.0,10.3,12.6,1.07,0.0,0.0,,SSE,,13.71
008HI,2024-01-15T11:55:00Z,18.944,72.32,1.476,141.9,0.0,0.0,10.3,,0.99,0.0,0.0,,SE,,13.82
008HI,2024-01-15T12:00:00Z,18.806,72.95,1.451,141.0,0.0,0.0,10.3,12.59,0.75,0.0,0.0,,SE,,13.82
008HI,2024-01-15T12:05:00Z,18.672,73.28,1.374,139.7,0.0,0.0,10.3,,0.74,0.0,0.0,,SE,,13.76
008HI,2024-01-15T12:10:00Z,18.583,73.36,1.307,141.4,0.0,0.0,10.3,12.59,0.79,0.0,0.0,,SE,,13.69
008HI,2024-01-15T12:15:00Z,18.517,73.37,1.497,147.1,0.0,0.0,10.3,,0.84,0.0,0.0,,SSE,,13.63
008HI,2024-01-15T12:20:00Z,18.544,73.47,1.281,144.3,0.0,0.0,10.3,12.59,0.98,0.0,0.0,,SE,,13.68
008HI,2024-01-15T12:25:00Z,18.522,73.67,1.266,143.7,0.0,0.0,10.3,,0.93,0.0,0.0,,SE,,13.7
008HI,2024-01-15T12:30:00Z,18.483,74.08,1.142,136.4,0.0,0.0,10.3,12.58,0.88,0.0,0.0,,SE,,13.75
008HI,2024-01-15T12:35:00Z,18.361,74.57,0.998,139.1,0.0,0.0,10.3,,0.84,0.0,0.0,,SE,,13.73
008HI,2024-01-15T12:40:00Z,18.261,75.1,0.9,131.4,0.0,0.0,10.3,12.51,0.81,0.0,0.0,,SE,,13.75
008HI,2024-01-15T12:45:00Z,18.239,75.39,0.844,125.9,0.0,0.0,10.3,,0.95,0.0,0.0,,SE,,13.78
008HI,2024-01-15T12:50:00Z,18.239,75.26,0.741,122.2,0.0,0.0,10.3,12.46,1.07,0.0,0.0,,ESE,,13.76
008HI,2024-01-15T12:55:00Z,18.144,75.32,0.813,123.9,0.0,0.0,10.3,,0.77,0.0,0.0,,SE,,13.68
008HI,2024-01-15T13:00:00Z,18.161,75.66,0.839,121.4,0.0,0.0,10.3,12.47,1.02,0.0,0.0,,ESE,,13.76
008HI,2024-01-15T13:05:00Z,18.122,76.0,0.875,124.3,0.0,0.0,10.3,,1.04,0.0,0.0,,SE,,13.8
008HI,2024-01-15T13:10:00Z,18.128,76.0,1.019,121.6,0.0,0.0,10.3,12.46,1.17,0.0,0.0,,ESE,,13.8
008HI,2024-01-15T13:15:00Z,18.156,75.91,0.957,115.7,0.0,0.0,10.3,,1.01,0.0,0.0,,ESE,,13.81
008HI,2024-01-15T13:20:00Z,18.1,76.38,0.962,105.7,0.0,0.0,10.3,12.5,0.83,0.0,0.0,,ESE,,13.85
008HI,2024-01-15T13:25:00Z,18.122,76.34,1.091,104.1,0.0,0.0,10.3,,1.02,0.0,0.0,,ESE,,13.86
008HI,2024-01-15T13:30:00Z,18.033,76.63,0.921,107.1,0.0,0.0,10.3,12.57,0.81,0.0,0.0,,ESE,,13.84
008HI,2024-01-15T13:35:00Z,17.878,77.14,1.024,101.5,0.0,0.0,10.3,,0.56,0.0,0.0,,ESE,,13.79
008HI,2024-01-15T13:40:00Z,17.883,76.99,1.003,109.7,0.0,0.0,10.3,12.56,0.88,0.0,0.0,,ESE,,13.76
008HI,2024-01-15T13:45:00Z,17.889,76.75,0.926,105.1,0.0,0.0,10.3,,0.83,0.0,0.0,,ESE,,13.72
008HI,2024-01-15T13:50:00Z,17.822,76.91,0.911,96.7,0.0,0.0,10.3,12.56,0.64,0.0,0.0,,E,,13.69
008HI,2024-01-15T13:55:00Z,17.55,78.16,0.983,95.2,0.0,0.0,10.3,,0.27,0.0,0.0,,E,,13.67
008HI,2024-01-15T14:00:00Z,17.439,79.03,1.029,101.2,0.0,0.0,10.3,12.56,0.58,0.0,0.0,,E,,13.74
008HI,2024-01-15T14:05:00Z,17.522,79.01,1.008,106.4,0.0,0.0,10.3,,0.98,0.0,0.0,,ESE,,13.81
008HI,2024-01-15T14:10:00Z,17.6,78.64,0.859,100.6,0.0,0.0,10.3,12.55,0.94,0.0,0.0,,E,,13.82
008HI,2024-01-15T14:15:00Z,17.428,79.39,0.885,95.2,0.0,0.0,10.3,,0.45,0.0,0.0,,E,,13.8
008HI,2024-01-15T14:20:00Z,17.222,80.53,0.844,89.1,0.0,0.0,10.3,12.55,0.15,0.0,0.0,,E,,13.82
008HI,2024-01-15T14:25:00Z,17.078,81.85,0.88,91.2,0.0,0.0,10.3,,0.24,0.0,0.0,,E,,13.93
008HI,2024-01-15T14:30:00Z,17.211,81.69,0.854,92.2,0.0,0.0,10.3,12.54,0.56,0.0,0.0,,E,,14.03
008HI,2024-01-15T14:35:00Z,17.339,81.36,0.767,95.9,0.0,0.0,10.3,,0.51,0.0,0.0,,E,,14.09
008HI,2024-01-15T14:40:00Z,17.428,81.14,0.715,93.7,0.0,0.0,10.3,12.54,0.32,0.0,0.0,,E,,14.14
008HI,2024-01-15T14:45:00Z,17.506,81.05,0.751,96.8,0.0,0.0,10.3,,0.31,0.0,0.0,,E,,14.19
008HI,2024-01-15T14:50:00Z,17.644,80.82,0.818,101.9,0.01,0.0,10.3,12.54,0.36,0.0,0.0,,ESE,,14.28
008HI,2024-01-15T14:55:00Z,17.994,79.59,0.756,106.1,0.22,0.0,10.3,,0.69,0.0,0.0,,ESE,,14.39
008HI,2024-01-15T15:00:00Z,18.3,78.24,0.705,105.2,0.0,0.0,10.3,12.55,0.57,0.0,0.0,,ESE,,14.42
008HI,2024-01-15T15:05:00Z,18.417,77.61,0.684,109.2,0.0,0.0,10.3,,0.33,0.0,0.0,,ESE,,14.41
008HI,2024-01-15T15:10:00Z,18.467,77.66,0.643,106.2,0.0,0.0,10.3,12.54,0.24,0.0,0.0,,ESE,,14.47
008HI,2024-01-15T15:15:00Z,18.506,77.77,0.612,93.0,0.0,0.0,10.3,,0.0,0.0,0.0,,E,,14.53
008HI,2024-01-15T15:20:00Z,18.378,78.46,0.571,93.9,0.0,0.0,10.3,12.54,0.0,0.0,0.0,,E,,14.54
008HI,2024-01-15T15:25:00Z,18.461,78.42,0.792,90.5,0.0,0.0,10.3,,0.0,0.0,0.0,,E,,14.61
008HI,2024-01-15T15:30:00Z,18.561,77.68,0.756,86.8,0.0,0.0,10.3,12.54,0.0,0.0,0.0,,E,,14.56
008HI,2024-01-15T15:35:00Z,18.411,77.88,0.514,87.4,0.0,0.0,10.3,,0.0,0.0,0.0,,E,,14.46
008HI,2024-01-15T15:40:00Z,18.172,78.42,0.53,110.6,0.0,0.0,10.3,12.47,0.0,0.0,0.0,,ESE,,14.33
008HI,2024-01-15T15:45:00Z,18.078,78.71,0.89,117.4,0.0,0.0,10.3,,0.24,0.0,0.0,,ESE,,14.3
008HI,2024-01-15T15:50:00Z,18.056,78.18,0.828,107.5,0.0,0.0,10.3,12.43,0.52,0.0,0.0,,ESE,,14.17
008HI,2024-01-15T15:55:00Z,17.972,77.98,0.89,106.0,0.0,0.0,10.3,,0.62,0.0,0.0,,ESE,,14.05
008HI,2024-01-15T16:00:00Z,17.989,77.98,0.977,113.2,0.0,0.0,10.3,12.43,0.85,0.0,0.0,,ESE,,14.06
008HI,2024-01-15T16:05:00Z,18.044,77.88,0.993,115.5,0.0,0.0,10.3,,0.99,0.0,0.0,,ESE,,14.1
008HI,2024-01-15T16:10:00Z,18.044,78.06,0.952,107.5,0.0,0.0,10.3,12.42,0.97,0.0,0.0,,ESE,,14.13
008HI,2024-01-15T16:15:00Z,18.039,78.18,1.055,117.5,0.0,0.0,10.3,,0.96,0.0,0.0,,ESE,,14.15
008HI,2024-01-15T16:20:00Z,18.017,78.34,0.905,112.1,0.0,0.0,10.3,12.42,0.85,0.0,0.0,,ESE,,14.16
008HI,2024-01-15T16:25:00Z,17.944,78.84,1.121,107.6,0.0,0.0,10.3,,0.76,0.0,0.0,,ESE,,14.19
008HI,2024-01-15T16:30:00Z,17.8,79.22,0.967,118.1,0.0,0.0,10.3,12.5,0.62,0.0,0.0,,ESE,,14.13
008HI,2024-01-15T16:35:00Z,17.75,79.44,0.89,121.5,0.0,0.0,10.3,,0.81,0.0,0.0,,ESE,,14.12
008HI,2024-01-15T16:40:00Z,17.806,78.93,1.019,126.7,0.0,0.0,10.3,12.52,1.14,0.0,0.0,,SE,,14.07
008HI,2024-01-15T16:45:00Z,17.9,78.63,1.003,123.6,0.0,0.0,10.3,,1.22,0.0,0.0,,ESE,,14.11
008HI,2024-01-15T16:50:00Z,17.939,79.02,0.921,134.2,0.0,0.0,10.3,12.52,1.17,0.0,0.0,,SE,,14.22
008HI,2024-01-15T16:55:00Z,17.972,79.36,0.844,121.8,0.0,0.0,10.3,,1.18,0.0,0.0,,ESE,,14.32
008HI,2024-01-15T17:00:00Z,17.978,79.85,0.9,129.7,0.0,0.0,10.3,12.52,1.41,0.0,0.0,,SE,,14.42
008HI,2024-01-15T17:05:00Z,17.994,79.93,0.844,123.5,1.99,0.0,10.3,,1.62,0.0,0.0,,ESE,,14.45
008HI,2024-01-15T17:10:00Z,17.972,79.43,0.803,135.6,4.48,0.0,10.3,12.52,1.62,0.0,0.0,,SE,,14.33
008HI,2024-01-15T17:15:00Z,18.078,78.23,1.065,131.0,7.93,0.0,10.3,,2.17,0.0,0.0,,SE,,14.2
008HI,2024-01-15T17:20:00Z,18.167,77.36,1.008,138.1,10.63,0.0,10.3,12.52,2.33,0.0,0.0,,SE,,14.11
008HI,2024-01-15T17:25:00Z,18.256,77.02,0.998,129.4,13.48,0.0,10.3,,2.43,0.0,0.0,,SE,,14.13
008HI,2024-01-15T17:30:00Z,18.311,76.86,0.962,130.2,16.32,0.0,10.3,12.53,2.53,0.0,0.0,,SE,,14.15
008HI,2024-01-15T17:35:00Z,18.367,76.67,1.085,132.8,19.46,0.0,10.3,,2.76,0.0,0.0,,SE,,14.17
008HI,2024-01-15T17:40:00Z,18.5,76.26,1.019,134.7,23.34,0.0,10.3,12.54,3.13,0.0,0.0,,SE,,14.21
008HI,2024-01-15T17:45:00Z,18.6,75.99,0.715,124.4,32.72,0.0,10.3,,4.57,0.0,0.0,,SE,,14.26
008HI,2024-01-15T17:50:00Z,18.706,75.8,0.736,120.5,52.73,0.0,10.3,12.57,7.97,0.0,0.0,,ESE,,14.32
008HI,2024-01-15T17:55:00Z,18.956,75.33,0.849,115.7,51.95,0.0,10.3,,10.21,0.0,0.0,,ESE,,14.47
008HI,2024-01-15T18:00:00Z,19.211,74.54,0.694,110.3,81.6,0.0,10.3,12.62,13.01,0.0,0.0,,ESE,,14.55
008HI,2024-01-15T18:05:00Z,19.739,72.48,0.967,108.4,156.52,0.0,10.3,,18.36,0.0,0.0,,ESE,,14.62
008HI,2024-01-15T18:10:00Z,20.306,70.17,0.751,122.8,200.44,0.0,10.2,12.88,26.75,0.0,0.0,,ESE,,14.66
008HI,2024-01-15T18:15:00Z,20.717,68.31,0.813,115.3,204.57,0.0,10.3,,32.71,0.0,0.0,,ESE,,14.64
008HI,2024-01-15T18:20:00Z,21.022,67.3,0.962,129.0,239.64,0.0,10.3,13.59,36.29,0.0,0.0,,SE,,14.7
008HI,2024-01-15T18:25:00Z,21.3,66.88,0.864,126.5,258.64,0.0,10.3,,39.11,0.0,0.0,,SE,,14.87
008HI,2024-01-15T18:30:00Z,21.617,66.07,0.936,134.0,277.85,0.0,10.3,13.84,41.87,0.0,0.0,,SE,,14.98
008HI,2024-01-15T18:35:00Z,21.8,66.25,0.88,156.8,296.45,0.0,10.3,,44.33,0.0,0.0,,SSE,,15.2
008HI,2024-01-15T18:40:00Z,22.178,65.79,0.828,171.6,315.89,0.0,10.3,13.83,46.65,0.0,0.0,,S,,15.45
008HI,2024-01-15T18:45:00Z,22.561,65.22,0.787,192.8,335.68,0.0,10.3,,49.0,0.0,0.0,,SSW,,15.68
008HI,2024-01-15T18:50:00Z,22.744,64.73,1.044,188.1,354.86,0.0,10.3,13.81,50.76,0.0,0.0,,S,,15.73
008HI,2024-01-15T18:55:00Z,22.7,65.09,1.528,195.1,373.94,0.0,10.3,,52.64,0.0,0.0,,SSW,,15.78
008HI,2024-01-15T19:00:00Z,22.589,66.17,1.795,203.1,393.04,0.0,10.2,13.73,54.98,0.0,0.0,,SSW,,15.93
008HI,2024-01-15T19:05:00Z,22.517,66.61,1.903,205.6,411.78,0.0,10.3,,57.16,0.0,0.0,,SSW,,15.97
008HI,2024-01-15T19:10:00Z,22.706,66.16,1.425,191.1,430.89,0.0,10.3,13.65,59.46,0.0,0.0,,S,,16.04
008HI,2024-01-15T19:15:00Z,22.894,65.22,1.821,199.4,449.42,0.0,10.3,,61.67,0.0,0.0,,SSW,,16.0
008HI,2024-01-15T19:20:00Z,22.744,65.0,2.377,190.5,467.71,0.0,10.3,13.63,63.25,0.0,0.0,,S,,15.8
008HI,2024-01-15T19:25:00Z,22.733,65.38,2.047,189.0,485.92,0.0,10.3,,65.61,0.0,2.62,,S,,15.88
008HI,2024-01-15T19:30:00Z,22.983,64.7,1.991,191.0,503.04,0.0,10.3,13.63,67.85,0.0,4.77,,S,,15.95
008HI,2024-01-15T19:35:00Z,23.289,64.41,1.677,221.2,520.17,0.0,10.3,,69.18,0.0,6.97,,SW,,16.18
008HI,2024-01-15T19:40:00Z,23.822,62.65,1.903,213.9,536.72,0.0,10.3,13.73,71.08,0.0,7.58,,SW,,16.25
008HI,2024-01-15T19:45:00Z,23.544,62.12,1.883,174.0,551.96,0.0,10.3,,71.72,0.0,6.0,,S,,15.85
008HI,2024-01-15T19:50:00Z,23.628,62.24,1.857,206.0,567.21,0.0,10.3,13.71,73.36,0.0,9.15,,SSW,,15.96
008HI,2024-01-15T19:55:00Z,23.817,61.38,2.351,212.5,582.59,0.0,10.3,,75.07,0.0,10.4,,SSW,,15.92
008HI,2024-01-15T20:00:00Z,23.861,61.33,1.852,198.6,597.09,0.0,10.3,13.7,77.02,0.0,12.65,,SSW,,15.95
008HI,2024-01-15T20:05:00Z,23.883,61.33,1.97,204.5,611.2,0.0,10.3,,78.38,0.0,13.33,,SSW,,15.97
008HI,2024-01-15T20:10:00Z,23.972,60.96,2.336,204.7,625.22,0.0,10.3,13.69,80.01,0.0,15.16,,SSW,,15.96
008HI,2024-01-15T20:15:00Z,24.178,60.73,2.001,213.8,640.51,0.0,10.3,,82.56,0.0,18.26,,SW,,16.09
008HI,2024-01-15T20:20:00Z,24.45,59.17,2.402,217.7,654.25,0.0,10.3,13.68,84.13,0.0,17.76,,SW,,15.94
008HI,2024-01-15T20:25:00Z,24.433,59.04,2.788,216.0,668.94,0.0,10.2,,86.27,0.0,18.56,,SW,,15.89
008HI,2024-01-15T20:30:00Z,24.211,59.42,2.51,212.1,680.89,0.0,10.3,13.67,88.63,0.0,21.07,,SSW,,15.78
008HI,2024-01-15T20:35:00Z,24.172,60.1,2.768,205.2,693.8,0.0,10.3,,91.88,0.0,22.7,,SSW,,15.92
008HI,2024-01-15T20:40:00Z,24.261,59.51,2.706,200.4,705.95,0.0,10.2,13.66,94.2,0.0,23.16,,SSW,,15.85
008HI,2024-01-15T20:45:00Z,24.611,59.04,1.888,192.7,717.6,0.0,10.2,,96.55,0.0,26.39,,SSW,,16.06
008HI,2024-01-15T20:50:00Z,24.861,57.55,2.613,219.9,728.69,0.0,10.2,13.65,96.49,0.0,26.97,,SW,,15.89
008HI,2024-01-15T20:55:00Z,24.678,56.92,3.364,201.9,740.13,0.0,10.3,,98.8,0.0,26.55,,SSW,,15.55
008HI,2024-01-15T21:00:00Z,24.478,58.08,2.325,193.6,752.21,0.0,10.2,13.64,103.36,0.0,29.05,,SSW,,15.68
008HI,2024-01-15T21:05:00Z,24.7,56.82,2.721,198.9,761.07,0.0,10.3,,105.66,0.0,28.77,,SSW,,15.54
008HI,2024-01-15T21:10:00Z,24.828,57.1,2.629,203.9,770.26,0.0,10.2,13.64,107.56,0.0,30.13,,SSW,,15.74
008HI,2024-01-15T21:15:00Z,24.744,56.86,3.21,201.0,780.86,0.0,10.3,,109.35,0.0,30.82,,SSW,,15.59
008HI,2024-01-15T21:20:00Z,24.556,57.12,2.516,210.6,791.53,0.0,10.2,13.64,114.19,0.0,35.02,,SSW,,15.49
008HI,2024-01-15T21:25:00Z,25.417,53.92,2.5,221.8,799.7,0.0,10.3,,119.32,0.0,37.22,,SW,,15.4
008HI,2024-01-15T21:30:00Z,25.639,52.83,2.562,199.1,806.42,0.0,10.3,13.63,116.82,0.0,35.62,,SSW,,15.28
008HI,2024-01-15T21:35:00Z,25.094,54.8,2.763,194.5,813.43,0.0,10.3,,115.02,0.0,35.07,,SSW,,15.35
008HI,2024-01-15T21:40:00Z,24.956,55.33,3.226,203.4,818.22,0.0,10.3,13.62,114.01,0.0,35.02,,SSW,,15.37
008HI,2024-01-15T21:45:00Z,25.228,55.23,2.742,215.3,825.46,0.0,10.2,,114.11,0.0,39.38,,SW,,15.59
008HI,2024-01-15T21:50:00Z,25.339,54.42,2.598,195.5,830.48,0.0,10.2,13.62,114.28,0.0,38.31,,SSW,,15.47
008HI,2024-01-15T21:55:00Z,25.383,53.83,3.102,210.1,836.43,0.0,10.2,,114.52,0.0,39.89,,SSW,,15.34
008HI,2024-01-15T22:00:00Z,25.844,52.58,2.526,215.2,841.24,0.0,10.3,13.62,115.14,0.0,42.03,,SW,,15.4
008HI,2024-01-15T22:05:00Z,25.611,52.39,3.555,217.7,845.38,0.0,10.2,,113.15,0.0,41.55,,SW,,15.13
008HI,2024-01-15T22:10:00Z,25.45,53.61,3.442,207.2,848.15,0.0,10.2,13.57,111.44,0.0,41.25,,SSW,,15.34
008HI,2024-01-15T22:15:00Z,25.278,54.84,3.066,202.0,850.99,0.0,10.3,,109.22,0.0,41.39,,SSW,,15.53
008HI,2024-01-15T22:20:00Z,25.6,54.44,3.107,202.2,854.1,0.0,10.3,13.49,108.63,0.0,42.53,,SSW,,15.72
008HI,2024-01-15T22:25:00Z,25.444,54.26,4.002,204.9,856.15,0.0,10.3,,107.7,0.0,41.46,,SSW,,15.52
008HI,2024-01-15T22:30:00Z,25.506,54.88,3.154,214.9,858.26,0.0,10.2,13.5,108.47,0.0,45.78,,SW,,15.75
008HI,2024-01-15T22:35:00Z,25.65,54.43,3.529,212.3,859.85,0.0,10.3,,108.02,0.0,46.09,,SSW,,15.76
008HI,2024-01-15T22:40:00Z,25.6,54.29,3.298,211.2,862.09,0.0,10.2,13.57,107.0,0.0,45.36,,SSW,,15.67
008HI,2024-01-15T22:45:00Z,25.544,54.48,3.272,195.9,861.4,0.0,10.2,,105.92,0.0,43.7,,SSW,,15.68
008HI,2024-01-15T22:50:00Z,25.867,54.5,2.937,212.4,857.39,0.0,10.2,13.62,105.29,0.0,46.12,,SSW,,15.98
008HI,2024-01-15T22:55:00Z,25.944,54.08,3.39,217.0,855.62,0.0,10.3,,103.23,0.0,45.55,,SW,,15.93
008HI,2024-01-15T23:00:00Z,25.783,54.7,3.822,209.5,853.11,0.0,10.3,13.62,102.45,0.0,45.4,,SSW,,15.96
008HI,2024-01-15T23:05:00Z,25.717,55.81,3.025,206.3,852.12,0.0,10.2,,102.89,0.0,47.23,,SSW,,16.22
008HI,2024-01-15T23:10:00Z,26.194,54.86,2.901,220.7,848.93,0.0,10.3,13.61,102.84,0.0,48.06,,SW,,16.39
008HI,2024-01-15T23:15:00Z,26.544,53.94,2.701,214.1,844.78,0.0,10.3,,101.8,0.0,47.33,,SW,,16.45
008HI,2024-01-15T23:20:00Z,25.972,55.14,3.961,212.2,840.56,0.0,10.3,13.61,100.07,0.0,43.9,,SSW,,16.26
008HI,2024-01-15T23:25:00Z,25.678,56.84,3.22,205.1,838.09,0.0,10.3,,101.0,0.0,47.09,,SSW,,16.47
008HI,2024-01-15T23:30:00Z,25.889,56.27,2.68,206.5,831.81,0.0,10.3,13.6,100.53,0.0,46.28,,SSW,,16.51
008HI,2024-01-15T23:35:00Z,26.189,55.54,2.922,195.8,827.11,0.0,10.3,,100.42,0.0,44.62,,SSW,,16.58
008HI,2024-01-15T23:40:00Z,26.272,55.53,3.262,209.9,820.35,0.0,10.3,13.6,99.0,0.0,45.31,,SSW,,16.66
008HI,2024-01-15T23:45:00Z,25.972,57.3,2.912,204.9,813.85,0.0,10.3,,98.05,0.0,45.36,,SSW,,16.87
008HI,2024-01-15T23:50:00Z,25.794,57.65,3.606,207.7,804.91,0.0,10.3,13.59,96.63,0.0,43.84,,SSW,,16.8
008HI,2024-01-15T23:55:00Z,,57.43,3.061,207.0,800.23,0.0,10.3,,97.67,0.0,46.57,,SSW,,
008HI,2024-01-16T00:00:00Z,26.178,56.2,3.04,204.7,791.67,0.0,10.3,13.59,96.17,0.0,43.22,,SSW,,16.76
008HI,2024-01-16T00:05:00Z,26.106,56.62,3.406,190.2,781.45,0.0,10.3,,94.31,0.0,40.03,,S,,16.81
008HI,2024-01-16T00:10:00Z,26.617,55.0,2.999,204.6,773.2,0.0,10.3,13.58,94.26,0.0,43.18,,SSW,,16.83
008HI,2024-01-16T00:15:00Z,26.922,53.16,2.824,212.1,762.26,0.0,10.3,,92.29,0.0,40.7,,SSW,27.54,16.58
008HI,2024-01-16T00:20:00Z,27.133,53.12,2.449,204.4,753.31,0.0,10.3,13.57,91.27,0.0,38.78,,SSW,27.75,16.76
008HI,2024-01-16T00:25:00Z,27.072,52.39,2.84,202.0,742.97,0.0,10.3,,89.52,0.0,35.93,,SSW,27.64,16.49
008HI,2024-01-16T00:30:00Z,26.722,53.77,2.624,217.7,731.11,0.0,10.3,13.56,87.1,0.0,36.96,,SW,27.37,16.57
008HI,2024-01-16T00:35:00Z,27.467,51.94,2.793,207.6,719.36,0.0,10.3,,87.04,0.0,36.03,,SSW,28.02,16.72
008HI,2024-01-16T00:40:00Z,27.011,54.03,2.85,210.2,705.62,0.0,10.3,13.56,83.14,0.0,34.52,,SSW,27.68,16.91
008HI,2024-01-16T00:45:00Z,26.789,54.83,2.799,218.1,693.0,0.0,10.3,,80.91,0.0,34.85,,SW,27.5,16.94
008HI,2024-01-16T00:50:00Z,27.256,54.4,2.145,218.2,680.32,0.0,10.3,13.55,79.71,0.0,33.55,,SW,27.98,17.25
008HI,2024-01-16T00:55:00Z,27.183,54.6,2.619,211.9,665.84,0.0,10.3,,76.07,0.0,30.35,,SSW,27.91,17.24
008HI,2024-01-16T01:00:00Z,27.094,55.43,2.212,210.7,650.42,0.0,10.3,13.55,73.03,0.0,29.48,,SSW,27.87,17.4
008HI,2024-01-16T01:05:00Z,26.956,56.32,2.943,205.4,638.46,0.0,10.3,,71.54,0.0,26.96,,SSW,27.77,17.52
008HI,2024-01-16T01:10:00Z,27.0,56.26,2.33,218.1,624.56,0.0,10.3,13.53,69.28,0.0,26.81,,SW,27.82,17.54
008HI,2024-01-16T01:15:00Z,26.822,56.84,3.313,210.9,609.28,0.0,10.3,,66.49,0.0,24.29,,SSW,27.66,17.54
008HI,2024-01-16T01:20:00Z,26.483,58.4,3.143,213.5,593.6,0.0,10.3,13.42,64.1,0.0,24.38,,SSW,,17.65
008HI,2024-01-16T01:25:00Z,26.017,59.85,3.771,214.1,579.9,0.0,10.3,,61.99,0.0,21.91,,SW,,17.6
008HI,2024-01-16T01:30:00Z,26.089,59.51,2.948,215.6,562.71,0.0,10.3,13.42,60.56,0.0,21.7,,SW,,17.58
008HI,2024-01-16T01:35:00Z,26.5,57.81,2.557,200.3,547.38,0.0,10.3,,58.8,0.0,20.31,,SSW,,17.51
008HI,2024-01-16T01:40:00Z,26.133,58.62,3.447,201.2,529.74,0.0,10.3,13.45,56.1,0.0,16.43,,SSW,,17.38
